bfs_number,rooms,area,price,postalcode,address,town,description_raw,bfs_name,pop,pop_dens,frg_pct,emp,tax_income
118,3.0,49,1441,8630,"Neuhusstrasse 6, 8630 Rüti ZH", Rüti ZH,«Gemütliche Wohnung im Grünen»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676
118,3.0,111,2600,8630,"Widacherstrasse 5, 8630 Rüti ZH", Rüti ZH,«3 Zimmer-Maisonette-Wohnung»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676
118,3.0,58,1490,8630,"Widenweg 14, 8630 Rüti ZH", Rüti ZH,"«Ruhig & Grün , Genau was Sie suchen !»",Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676
118,4.0,118,3240,8630,"Rain 1, 8630 Rüti ZH", Rüti ZH,«Gemütliches 4-Zimmer-Reihenhaus in zentraler Rüti-Lage»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676
118,3.0,66,1450,8630,"Bachtelstrasse 24b, 8630 Rüti ZH", Rüti ZH,«Schöne 3-Zimmerwohnung in ruhigem Quartier»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676
118,2.5,61,1307,8630,"Faegswilerstrasse 1, 8630 Rüti ZH", Rüti ZH,«Kleine Attikawohnung mit grossem Charme»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676
88,3.5,65,1850,8173,"Zürcherstrasse 1, 8173 Neerach", Neerach,«Attraktive 3.5-Zimmer-EG-Wohnung in Neerach»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502
88,3.5,101,2420,8173,"Vogtmühlestrasse 2, 8173 Neerach", Neerach,«Wohnen im steuergünstigen Neerach»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502
88,2.5,68,2060,8173,"Vogtmühlestrasse 2, 8173 Neerach", Neerach,«Wohnen im steuergünstigen Neerach»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502
88,5.5,191,3400,8173,"Steinmaurstrasse 19B, 8173 Neerach", Neerach,«Traumhaft schöne 5 1/2 Zimmer Maisonette-Wohnung in Neerach mit Eigentumsstandard zu vermieten»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502
